name,location,Date,Rating,Review,Image_Links,state,clean_review,review_length,word_count,priority,tolerance,cultural_norm,batch_index,sentiment,aspect,urgency
Maggie,"Los Angeles, CA","Reviewed March 17, 2012",2.0,"I always like to get a coffee like around 7 p.m. to 8 p.m. It seems that every time I go to this Starbucks located at 3853 E. 3rd street Los Angeles, CA, they never have the cinnamon swirl coffee cake. I have been going to this Starbucks because it is closer to home and I have try to go a little earlier to see if maybe they just run out of this bread because it might be popular. But even that I always get no answer when I want to purchase this bread. This is not the first time that has happened to me! I am a manager of a fast food place and I know that customer service is really important as well as quality product. Hopefully, you guys can do something about this or I will have to stop going to Starbucks!",['No Images'],CA,i always like to get a coffee like around 7 pm to 8 pm it seems that every time i go to this  located at 3853 e 3rd street los angeles ca they never have the cinnamon swirl coffee cake i have been going to this  because it is closer to home and i have try to go a little earlier to see if maybe they just run out of this bread because it might be popular but even that i always get no_answer when i want to purchase this bread this is not_the first time that has happened to me i am a manager of a fast food place and i know that customer service is really important as well as quality product hopefully you guys can do something about this or i will have to stop going to,672,140,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",1.0,Negative,Unknown,Low
William,"Palmdale, CA","Reviewed Oct. 18, 2015",1.0,"I was at the Starbucks drive through on 10-17-15, my app had a .45 cents balance. When I tried to reload card the app crashed & the Starbucks Widget showed 0.00 balance wiping out my account I paid cash. The app kept crashing, I called Starbucks automated system, entered my card number and was advised my balance is 0 dollars and 0 cents. I logged into my Starbucks on their site, it only showed my name and email, all other information was there.",['No Images'],CA,i was at the  drive through on 101715 my app had a 45 cents balance when i tried to reload card the app crashed  the  widget showed 000 balance wiping out my account i paid cash the app kept crashing i called  automated system entered my card number and was advised my balance is 0 dollars and 0 cents i logged into my  on their site it only showed my name and email all other information was there,398,78,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",2.0,Negative,Unknown,High
DAISY,"Milpitas, CA","Reviewed April 11, 2016",4.0,"It was the worst, worst customer service experience that I've encountered at one of the Starbucks store on Curtner, San Jose, CA (store #13937). Today, I went in to purchase an Americano inside Curtner Starbucks and asked for the non-fat milk for my coffee. However, the store manager, **, told me that he had to charge me extra, according to the ""milk policy""??? As a loyal member of Starbucks for more than 3 years, I always purchase my coffee at Starbucks wherever I go but have never experienced anything like this, specifically the ""milk policy"". I love Starbucks and I always advise many of my friends and family to visit because I truly believe of what its company has claimed to always provide, the best customer service experiences for every visit to its members. However, after today, I really have a different perspective. I think it's really unethical and inappropriate, and I surely believe this would be my last experience with Starbucks.",['No Images'],CA,it was the worst worst customer service experience that ive encountered at one of the  store on curtner san jose ca store 13937 today i went in to purchase an americano inside curtner  and asked for the nonfat milk for my coffee however the store manager  told me that he had to charge me extra according to the milk policy as a loyal member of  for more than 3 years i always purchase my coffee at  wherever i go but have never experienced anything like this specifically the milk policy i love  and i always advise many of my friends and family to visit because i truly believe of what its company has claimed to always provide the best customer service experiences for every visit to its members however after today i really have a different perspective i think its really unethical and inappropriate and i surely believe this would be my last experience with,862,155,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",0.0,Negative,Service,High
Barbara,"Roseville, CA","Reviewed Dec. 22, 2017",3.0,Good choices but need not to run out all schedules not the same. My breakfast hours are later than business folks or school children who frequent the area restaurant.,['No Images'],CA,good choices but need not_to run out all schedules not_the same my breakfast hours are later than business folks or school children who frequent the area restaurant,164,27,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",1.0,Mixed,Unknown,Medium
Malinda,"Walnut, CA","Reviewed May 4, 2018",1.0,"I was in the drive thru at the Barranca Ave. West Covina Starbucks yesterday at 3:40pm. I was picking up 3 grande ice tea for coaches at a nearby high school baseball game. I asked to have each ring up separately. I was told that there is a limit of 2 transactions at the drive thru??? Funny, a week earlier I ordered 4 separate orders at the same drive thru without any trouble? The car in front of me had 4 separate transactions as I watched the customer have her phone scanned 4 separate times?",['No Images'],CA,i was in the drive thru at the barranca ave west covina  yesterday at 340pm i was picking up 3 grande ice tea for coaches at a nearby high school baseball game i asked to have each ring up separately i was told that there is a limit of 2 transactions at the drive thru funny a week earlier i ordered 4 separate orders at the same drive thru without any trouble the car in front of me had 4 separate transactions as i watched the customer have her phone scanned 4 separate times,477,94,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",2.0,Negative,Unknown,High
Ivan,"Costa Mesa, CA","Reviewed May 31, 2022",4.0,"Most Starbucks charge $2.95 for grande Pike Place coffee, but one store in Huntington Beach CA (Brookhurst & Hamilton) charges $3.25 for same grande. Lovely place, great staff, but price a bit of a turn off…",['No Images'],CA,most  charge 295 for grande pike place coffee but one store in huntington beach ca brookhurst  hamilton charges 325 for same grande lovely place great staff but price a bit of a turn off,186,34,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Jenny,"Hanford, CA","Reviewed April 4, 2014",1.0,"I was poisoned by my smoothie. After a few hours, my stomachache got worse and worse. Then came 24 hours of extreme vomiting. Could not even keep water down. I got fever, the runs. If I can't keep water down by tomorrow, it is off to the hospital for me. Starbucks needs to pay better attention to product handling and storage. I will never ever go back.",['No Images'],CA,i was poisoned by my smoothie after a few hours my stomachache got worse and worse then came 24 hours of extreme vomiting could not_even keep water down i got fever the runs if i cant keep water down by tomorrow it is off to the hospital for me  needs to pay better attention to product handling and storage i will never ever go back,333,65,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Cynthia,"San Pedro, CA","Reviewed Aug. 14, 2017",3.0,"Ice coffee very bitter and day old. Food displayed looks old and process ready for their microwave oven. Staff are friendly & busy, hence tables and chairs not maintained throughout the day.",['No Images'],CA,ice coffee very bitter and day old food displayed looks old and process ready for their microwave oven staff are friendly  busy hence tables and chairs not_maintained throughout the day,185,30,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Becky,"Magalia, CA","Reviewed Sept. 28, 2018",1.0,"I went to our new Starbucks the other day. My first time as I usually go to Dutch Brothers. A friend asked me to meet her there her first time too. I wonder why you still ask people's names when you can't get it right. Why don't you just give us a number? Well they called the wrong name. Then let them sit on the counter untill we got impatient. When I went to investigate I found two cups sitting there. I want to also say there was only three people in the restaurant. And we sat directly in front of the cashier, so she could see that we were sitting there DRINKLESS for an unusually long time.",['No Images'],CA,i went to our new  the other day my first time as i usually go to dutch brothers a friend asked me to meet her there her first time too i wonder why you still ask peoples names when you cant get it right why dont you just give us a number well they called the wrong name then let them sit on the counter untill we got impatient when i went to investigate i found two cups sitting there i want to also say there was only three people in the restaurant and we sat directly in front of the cashier so she could see that we were sitting there drinkless for an unusually long time,575,117,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",0.0,Negative,Price,Medium
Sarah,"Beverly Hills, CA","Reviewed Aug. 22, 2009",,"As I stood in line at the store, I saw a mid-sized dog sitting on the counter. Stephanie was serving. I asked her to please ask the customer to put the dog on the floor. She did not. She then went on to serve 3 more people before giving the counter a very cursory wipe. She was also particularly rude and did not seem to understand my point of view.",['No Images'],CA,as i stood in line at the store i saw a midsized dog sitting on the counter stephanie was serving i asked her to please ask the customer to put the dog on the floor she did not she then went on to serve 3 more people before giving the counter a very cursory wipe she was also particularly rude and did not_seem to understand my point of view,341,69,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",1.0,Neutral,Service,Low
Robert,"Los Angeles, CA","Reviewed May 14, 2015",1.0,"We are in hard times as it is and a cup of Starbucks coffee is the most expensive coffee around. That said, I pulled up to a Starbucks drive thru and saw a tip jar hanging out the take out window and thought to myself, ""No way, I must be hallucinating"". I'm seeing way too many tip jars as it is everywhere I go and it sickens me. It's equal to a person saying,""hey if you don't tip me, you are not as cool as the people that do"". Look, I gladly tip at restaurants because it's a way to establish how one is to be treated. Plus, there are other people involved other than the waitress such as the bus boy, etc... ",['No Images'],CA,we are in hard times as it is and a cup of  coffee is the most expensive coffee around that said i pulled up to a  drive thru and saw a tip jar hanging out the take out window and thought to myself no_way i must be hallucinating im seeing way too many tip jars as it is everywhere i go and it sickens me its equal to a person sayinghey if you dont tip me you are not_as cool as the people that do look i gladly tip at restaurants because its a way to establish how one is to be treated plus there are other people involved other than the waitress such as the bus boy etc,570,119,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",2.0,Negative,Price,High
Phyllis,"Citrus Heights, CA","Reviewed Sept. 10, 2017",4.0,"It depends on the management of each establishment as to the quality of service, the friendliness of the employees and cleanliness. It's always nice when the employee gets your order correct.",['No Images'],CA,it depends on the management of each establishment as to the quality of service the friendliness of the employees and cleanliness its always nice when the employee gets your order correct,187,31,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Joellen,"Claremont, CA","Reviewed Jan. 8, 2010",,"Seattle is your home town, so your representation at the airport should give travelers a good impression. Instead, at the Sea-Tac airport, all of the franchise stores are total losers. The coffee drinks are mediocre at best, but the absolute worst things are the inedible edibles. The scones, etc. are simply awful and do not live up to the Starbucks promise of more healthful goodies. There is a definite improvement in your own stores, but these airport franchises are awful. Either take them back or demand better quality. PS: My husband and I are longtime shareholders, so this is important to us.",['No Images'],CA,seattle is your home town so your representation at the airport should give travelers a good impression instead at the seatac airport all of the franchise stores are total losers the coffee drinks are mediocre at best but the absolute worst things are the inedible edibles the scones etc are simply awful and do not_live up to the  promise of more healthful goodies there is a definite improvement in your own stores but these airport franchises are awful either take them back or demand better quality ps my husband and i are longtime shareholders so this is important to us,575,100,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
M.,"Crescent City, CA","Reviewed May 31, 2018",2.0,"I know many gift cards are not refundable. But when there is a statement on the back of Starbucks gift card package as ""Refunds only provided for unused cards with the original receipt"" printed, I would expect there was a system in place to handle that. But I found that was not the case. I accidentally grabbed a gift card with wrong amount at Safeway. I tried to return it right away but Safeway said they did not give refunds for gift cards. I called Starbucks and was told Safeway should and I needed to talk to the store manager. Back at Safeway, I was told I needed to talk to Starbucks' customer service manager. Starbucks should change its policy to ""Gift cards are NOT refundable.""",['No Images'],CA,i know many gift cards are not_refundable but when there is a statement on the back of  gift card package as refunds only provided for unused cards with the original receipt printed i would expect there was a system in place to handle that but i found that was not_the case i accidentally grabbed a gift card with wrong amount at safeway i tried to return it right away but safeway said they did not_give refunds for gift cards i called  and was told safeway should and i needed to talk to the store manager back at safeway i was told i needed to talk to  customer service manager  should change its policy to gift cards are not_refundable,639,118,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Danyele,"Sacramento, CA","Reviewed Aug. 15, 2017",5.0,I like the way the set up is in the store and also the ambiance. The staff are nice and courteous. I like the different drinks and food items that are healthy choices.,['No Images'],CA,i like the way the set up is in the store and also the ambiance the staff are nice and courteous i like the different drinks and food items that are healthy choices,164,33,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Neal,"Canoga Park, CA","Reviewed July 6, 2017",1.0,"I was at store #16710 and was waiting, waiting and waiting for my wife's drink and finally I opened my mouth. I called to speak to the manager and she gives the excuse everyone is helping each other. Garbage. They have 3 people on the drive through and one person helping people that walk in. She is a very poor manager, does not know the first thing about customer service or selling. She is poor.",['No Images'],CA,i was at store 16710 and was waiting waiting and waiting for my wifes drink and finally i opened my mouth i called to speak to the manager and she gives the excuse everyone is helping each other garbage they have 3 people on the drive through and one person helping people that walk in she is a very poor manager does not_know the first thing about customer service or selling she is poor,388,74,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Linda,"Valencia, CA","Reviewed June 9, 2010",,"On Monday morning, 6/7/10, I arrived at Starbucks, ordered a tall coffee with 3 pumps of hazelnut & steamed half & half. Many people were waiting in line. Within approx 6 seconds, my coffee was handed to me. I didn't even pay yet. I went outside, jumped in my car, took a sip knowing it would be hot, and to my surprise, it was warm. I believe this coffee was pre-made in advance being it was so crowded. Late for my appointment, I had no time to return inside to complain but I will never go to this most popular Starbucks again. By the unusual grin she gave me, I should have caught on that something was up.",['No Images'],CA,on monday morning 6710 i arrived at  ordered a tall coffee with 3 pumps of hazelnut  steamed half  half many people were waiting in line within approx 6 seconds my coffee was handed to me i didnt even pay yet i went outside jumped in my car took a sip knowing it would be hot and to my surprise it was warm i believe this coffee was premade in advance being it was so crowded late for my appointment i had no_time to return inside to complain but i will never go to this most popular  again by the unusual grin she gave me i should have caught on that something was up,568,113,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
84euni,"Rancho Cucamonga, CA","Reviewed Jan. 9, 2019",2.0,"I came to the Starbucks on Mountain and Foothill in Upland. The store is usually clean, this time both the bathrooms needed cleaning and stocking of supplies (one had urine all over the floor). The trash bins also were overflowing. I told the barista and said he would let his supervisor know... Ok? Well 20 minutes later, still waiting for someone to go in and clean them.",['No Images'],CA,i came to the  on mountain and foothill in upland the store is usually clean this time both the bathrooms needed cleaning and stocking of supplies one had urine all over the floor the trash bins also were overflowing i told the barista and said he would let his supervisor know ok well 20 minutes later still waiting for someone to go in and clean them,352,66,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",0.0,Negative,Unknown,Medium
Mel,"San Francisco, CA","Reviewed April 30, 2019",1.0,"When Starbucks changed the ""rewards"" to ""stars"", they eliminated the unlimited free purchases, now if you order more than one item, you don't get the discount on multiple purchases, as you did with the old ""rewards"" program, and there was no notice of any kind advising that the unlimited free purchase had been either planned or discontinued. Matter of a fact when I complained to Starbucks about this bait & switch, all I got was a bunch of mumbo jumbo double speak legalese, it appears that Starbucks MO is now screw the customer, they apparently haven't learned anything from their last two publicity failures. Buyer BEWARE, use up your star rewards as fast as you can.",['No Images'],CA,when  changed the rewards to stars they eliminated the unlimited free purchases now if you order more than one item you dont get the discount on multiple purchases as you did with the old rewards program and there was no_notice of any kind advising that the unlimited free purchase had been either planned or discontinued matter of a fact when i complained to  about this bait  switch all i got was a bunch of mumbo jumbo double speak legalese it appears that  mo is now screw the customer they apparently havent learned anything from their last two publicity failures buyer beware use up your star rewards as fast as you can,625,111,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",1.0,Negative,Unknown,Medium
Shana,"San Diego, CA","Reviewed Aug. 9, 2010",,A stone was in my coffee beans. It broke my grinder. I called twice to complain. I was told I would be sent a pound of coffee and two coffee certificates. It has been 10 days and still nothing in the mail. Very unhappy! Case # **.,['No Images'],CA,a stone was in my coffee beans it broke my grinder i called twice to complain i was told i would be sent a pound of coffee and two coffee certificates it has been 10 days and still nothing in the mail very unhappy case,218,45,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",2.0,Negative,Product,High
Shelley,"Stockton, CA","Reviewed May 17, 2018",5.0,This store (Fremont & Wilson Starbucks in Cali) is my favorite and they always have things right. The customer service is great and so are my drinks. I drive past 3 Starbucks that are closer to me to get to this location thanks to the amazing customer service.,['No Images'],CA,this store fremont  wilson  in cali is my favorite and they always have things right the customer service is great and so are my drinks i drive past 3  that are closer to me to get to this location thanks to the amazing customer service,236,45,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Francois,"San Marcos, CA","Reviewed Jan. 18, 2019",5.0,"Aside from great drinks and good food the service has to be the best I've ever had at any Starbucks store. I've been using Starbucks since 1974, all over this country and this store has the best service of any other store. I have and will always recommend visiting that store.",['No Images'],CA,aside from great drinks and good food the service has to be the best ive ever had at any  store ive been using  since 1974 all over this country and this store has the best service of any other store i have and will always recommend visiting that store,252,49,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
a. e.,"Los Angeles, CA","Reviewed Feb. 21, 2020",1.0,"I normally buy my Grande Pike at this Starbucks: 138 S Central Ave, Los Angeles, CA 90012. Today I decided to add bagel and cream cheese to complete my breakfast. I left and had to go back asap because the cream cheese given to me was an opened and used one. I asked for the Manager and she accommodated me but I had to say my piece to Chris who served me. I told him what was he even thinking about???? With all the plague all over the world why would you do that. He apologized but it never affected me because I don't know why he did that. Asked him why give me somebody else cream cheese??? What if it is contaminated. So how can I trust Starbucks now. Is that the training you have for your employees??? It is so Disgusting. I wish I could attach a picture of the  cream cheese. So consumers check what you buy all the time.",['https://media.consumeraffairs.com/files/cache/reviews/starbucks_543635_thumbnail.jpg'],CA,i normally buy my grande pike at this  138 s central ave los angeles ca 90012 today i decided to add bagel and cream cheese to complete my breakfast i left and had to go back asap because the cream cheese given to me was an opened and used one i asked for the manager and she accommodated me but i had to say my piece to chris who served me i told him what was he even thinking about with all the plague all over the world why would you do that he apologized but it never affected me because i dont know why he did that asked him why give me somebody else cream cheese what if it is contaminated so how can i trust  now is that the training you have for your employees it is so disgusting i wish i could attach a picture of the  cream cheese so consumers check what you buy all the time,786,161,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Cindy,"Yorba Linda, CA","Reviewed Oct. 13, 2010",,"Today, I checked my receipt after I got to work. I was overcharged $1.00. How can they legally do this? I was charged for three extra coffees when all I asked for was extra coffee in my frap? They only charge $.50 for this, not $1.50. I have had many issues previously at this location; however, it is the only drive thru around and the only one on the way to work so I keep coming back. Result: money out of my pocket.",['No Images'],CA,today i checked my receipt after i got to work i was overcharged 100 how can they legally do this i was charged for three extra coffees when all i asked for was extra coffee in my frap they only charge 50 for this not 150 i have had many issues previously at this location however it is the only drive thru around and the only one on the way to work so i keep coming back result money out of my pocket,401,83,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
Jen,"Novato, CA","Reviewed Oct. 23, 2013",1.0,Manager attacked my sister and I. We were smoking 20 feet away from door and policy there is 10. Her employee was smoking in her car next to us and she was ok with that until she saw us smoking and started yelling at us. We were sitting minding our own business trying to have a personal conversation and she went off. She is always rude and has a attitude. I used to go there all the time but not anymore. And we had to call the police because it was total harassment. She was so out of line and we told her to just stop yelling and go away and that made her more mad. We have never been treated so bad by anyone anywhere in our lives. We smoke outside by the ashtray and so do the police when they come have coffee and we know all of them because our father was a cop in that area. Making a corporate complaint for being harassed.,['No Images'],CA,manager attacked my sister and i we were smoking 20 feet away from door and policy there is 10 her employee was smoking in her car next to us and she was ok with that until she saw us smoking and started yelling at us we were sitting minding our own business trying to have a personal conversation and she went off she is always rude and has a attitude i used to go there all the time but not_anymore and we had to call the police because it was total harassment she was so out of line and we told her to just stop yelling and go away and that made her more mad we have never been treated so bad by anyone anywhere in our lives we smoke outside by the ashtray and so do the police when they come have coffee and we know all of them because our father was a cop in that area making a corporate complaint for being harassed,821,166,"Convenience, Quality","Health-conscious, Eco-friendly","Digital-feedback, Social-media-influenced",,,,
